Spec,Size,Remove,Time,Best?,
specs/genbuf.spectra, 4, 40, 0.960,1.000,
specs/genbuf.spectra, 4, 41, 0.964,1.000,
specs/genbuf.spectra, 4, 42, 1.048,1.000,
specs/genbuf.spectra, 4, 43, 1.033,1.000,
specs/genbuf.spectra, 4, 44, 1.024,1.000,
specs/genbuf.spectra, 4, 45, 0.993,1.000,
specs/genbuf.spectra, 4, 46, 1.008,1.000,
specs/genbuf.spectra, 4, 47, 0.904,1.000,
specs/genbuf.spectra, 4, 48, 0.973,1.000,
specs/genbuf.spectra, 4, 49, 0.959,1.000,
specs/genbuf.spectra, 4, 50, 1.003,1.000,
specs/genbuf.spectra, 4, 51, 0.999,1.000,
specs/genbuf.spectra, 4, 52, 0.979,1.000,
