File Name,Execution Time (seconds)
Warnlight_a50cadd7.tlsf,0.051526871
Window2Min_88c5c1c3.tlsf,0.08141752
Window2_54e1f7d2.tlsf,0.21770298
Window2_6479ef9a.tlsf,0.143932517
Window2_9cac58d3.tlsf,0.173752835
Window2_aeb1d897.tlsf,0.254851305
Window2_f1477cc5.tlsf,0.126632404
WindowMin_a5f99bc6.tlsf,0.070513392
Window_235467da.tlsf,0.105896204
Window_42dc4fff.tlsf,0.098079934
Window_54e1f7d2.tlsf,0.102951874
Zoo0.tlsf,0.129267196
Zoo10.tlsf,0.10252755
Zoo5.tlsf,0.121075605
abcg_arbiter1.tlsf,0.072076487
abcg_arbiter2.tlsf,0.393327016
abcg_arbiter3.tlsf,13.769124475
abcg_arbiter4.tlsf,Timeout
amba_case_study2.tlsf,9.98532449
amba_case_study3.tlsf,Timeout
amba_case_study4.tlsf,Timeout
amba_case_study5.tlsf,Timeout
amba_case_study6.tlsf,Timeout
amba_decomposed_arbiter10.tlsf,Timeout
amba_decomposed_arbiter11.tlsf,Timeout
amba_decomposed_arbiter12.tlsf,Timeout
amba_decomposed_arbiter13.tlsf,Timeout
amba_decomposed_arbiter14.tlsf,Timeout
amba_decomposed_arbiter15.tlsf,Timeout
amba_decomposed_arbiter16.tlsf,Timeout
amba_decomposed_arbiter2.tlsf,0.125107676
amba_decomposed_arbiter3.tlsf,0.37250762
amba_decomposed_arbiter4.tlsf,0.646308865
amba_decomposed_arbiter5.tlsf,1.231954418
amba_decomposed_arbiter6.tlsf,2.053895976
amba_decomposed_arbiter7.tlsf,6.554755401
amba_decomposed_arbiter8.tlsf,26.891195025
amba_decomposed_arbiter9.tlsf,Timeout
amba_decomposed_decode.tlsf,0.04955112
amba_decomposed_encode10.tlsf,0.537852468
amba_decomposed_encode100.tlsf,Timeout
amba_decomposed_encode11.tlsf,1.590587522
amba_decomposed_encode12.tlsf,2.143042478
amba_decomposed_encode13.tlsf,6.242334472
amba_decomposed_encode14.tlsf,15.907198432
amba_decomposed_encode15.tlsf,35.378226302
amba_decomposed_encode16.tlsf,Timeout
amba_decomposed_encode2.tlsf,0.131794383
amba_decomposed_encode20.tlsf,Timeout
amba_decomposed_encode3.tlsf,0.118566242
amba_decomposed_encode4.tlsf,0.097059497
amba_decomposed_encode5.tlsf,0.148275761
amba_decomposed_encode50.tlsf,Timeout
amba_decomposed_encode6.tlsf,0.446658303
amba_decomposed_encode7.tlsf,0.276066697
amba_decomposed_encode8.tlsf,0.381909277
amba_decomposed_encode9.tlsf,0.629635805
amba_decomposed_lock10.tlsf,1.728043375
amba_decomposed_lock100.tlsf,Timeout
amba_decomposed_lock11.tlsf,3.696549144
amba_decomposed_lock12.tlsf,Timeout
amba_decomposed_lock13.tlsf,Timeout
amba_decomposed_lock14.tlsf,Timeout
amba_decomposed_lock15.tlsf,Timeout
amba_decomposed_lock16.tlsf,Timeout
amba_decomposed_lock2.tlsf,0.067274284
amba_decomposed_lock3.tlsf,0.078055865
amba_decomposed_lock30.tlsf,Timeout
amba_decomposed_lock4.tlsf,0.17605618
amba_decomposed_lock5.tlsf,0.223659877
amba_decomposed_lock6.tlsf,0.171764365
amba_decomposed_lock60.tlsf,Timeout
amba_decomposed_lock7.tlsf,0.241981819
amba_decomposed_lock8.tlsf,1.501260897
amba_decomposed_lock9.tlsf,5.926128349
amba_decomposed_shift.tlsf,0.05628428
amba_decomposed_tburst4.tlsf,0.159440421
amba_decomposed_tincr.tlsf,0.127031533
amba_decomposed_tsingle.tlsf,0.075026591
arbiter1.tlsf,0.053389909
arbiter2.tlsf,0.09176446
arbiter3.tlsf,0.203174914
arbiter4.tlsf,0.540508936
arbiter_with_buffer1.tlsf,0.035300496
arbiter_with_buffer2.tlsf,0.050435396
arbiter_with_buffer3.tlsf,0.117852716
arbiter_with_buffer4.tlsf,0.735399375
arbiter_with_cancel1.tlsf,0.113523652
arbiter_with_cancel2.tlsf,0.268029025
arbiter_with_cancel3.tlsf,1.05165877
arbiter_with_cancel4.tlsf,10.509550858
collector_v111.tlsf,31.546299629
collector_v113.tlsf,Timeout
collector_v115.tlsf,Timeout
collector_v127.tlsf,Timeout
collector_v13.tlsf,0.082732618
collector_v15.tlsf,0.100871076
collector_v17.tlsf,0.52459704
collector_v19.tlsf,3.217294184
collector_v211.tlsf,Timeout
collector_v213.tlsf,Timeout
collector_v215.tlsf,Timeout
collector_v227.tlsf,Timeout
collector_v23.tlsf,0.06785116
collector_v25.tlsf,0.283831274
collector_v27.tlsf,1.454045637
collector_v29.tlsf,16.065059736
collector_v311.tlsf,Timeout
collector_v313.tlsf,Timeout
collector_v315.tlsf,Timeout
collector_v327.tlsf,Timeout
collector_v33.tlsf,0.102425361
collector_v35.tlsf,0.267592046
collector_v37.tlsf,1.641138885
collector_v39.tlsf,24.477469257
detector1.tlsf,0.035327207
detector10.tlsf,0.064951405
detector100.tlsf,1.104333366
detector12.tlsf,0.064977513
detector14.tlsf,0.133366468
detector2.tlsf,0.043614192
detector25.tlsf,0.100646848
detector250.tlsf,9.122512903
detector3.tlsf,0.061056123
detector4.tlsf,0.053568471
detector5.tlsf,0.08086437
detector50.tlsf,0.235298171
detector6.tlsf,0.044317521
detector7.tlsf,0.12921787
detector8.tlsf,0.06885149
detector9.tlsf,0.047026724
detector_unreal10.tlsf,0.387046142
detector_unreal100.tlsf,0.092584132
detector_unreal11.tlsf,0.344848107
detector_unreal12.tlsf,0.407259243
detector_unreal13.tlsf,0.707429228
detector_unreal14.tlsf,0.662150339
detector_unreal15.tlsf,1.258939498
detector_unreal16.tlsf,1.010748484
detector_unreal2.tlsf,0.036502993
detector_unreal25.tlsf,2.249304559
detector_unreal3.tlsf,0.059261304
detector_unreal4.tlsf,0.09724602
detector_unreal5.tlsf,0.253214612
detector_unreal50.tlsf,19.391398882
detector_unreal6.tlsf,0.172125661
detector_unreal7.tlsf,0.241515097
detector_unreal8.tlsf,0.235510391
detector_unreal9.tlsf,0.333840024
door_locking_problem_d6c5ac79.tlsf,0.184002807
example101.tlsf,0.046033767
example102.tlsf,0.039399763
example103.tlsf,0.059539369
example10a1.tlsf,0.10088255
example10a2.tlsf,0.108391228
example10a3.tlsf,0.112100178
example71.tlsf,0.0346165
example72.tlsf,0.072510895
example73.tlsf,0.101223851
example7a1.tlsf,0.046178863
example7a2.tlsf,0.057395068
example7a3.tlsf,0.150811593
example81.tlsf,0.052964772
example82.tlsf,0.10171818
example83.tlsf,0.072610486
example91.tlsf,0.070200569
example92.tlsf,0.042053517
example93.tlsf,0.061029998
