File Name,Execution Time (seconds)
Shades2_235467da.tlsf,.031677597
Shades2_42dc4fff.tlsf,.069456818
Shades2_70523fbe.tlsf,.046255034
Shades2_a5f99bc6.tlsf,.030708465
ShadesMin_aeb1d897.tlsf,.022982829
Shades_6479ef9a.tlsf,.031508733
Shades_974f4a68.tlsf,.131087400
Shades_9cac58d3.tlsf,.027705932
Shades_a02758ea.tlsf,.028688002
Shades_b209ff21.tlsf,.038751968
SingleContoller_d65ed84e.tlsf,Timeout
SliderDefault.tlsf,.032613714
SliderDelayed.tlsf,.930400727
SliderScored.tlsf,.247130478
System_b0840146.tlsf,.028264147
Time_a50cadd7.tlsf,.020572327
Timer_a50cadd7.tlsf,.022977067
TorcsAccelerating.tlsf,.023873625
TorcsGearing.tlsf,.023132715
TorcsSimple.tlsf,.029670345
TorcsSteeringImproved.tlsf,.115855620
TorcsSteeringSimple.tlsf,.031987993
TorcsSteeringSmart.tlsf,.032105016
TwoCounters.tlsf,.058603280
TwoCounters2.tlsf,3.053536272
TwoCounters3.tlsf,6.838440017
TwoCounters4.tlsf,2.462774288
TwoCounters5.tlsf,Timeout
TwoCountersDisButA0.tlsf,Timeout
TwoCountersDisButA1.tlsf,Timeout
TwoCountersDisButA2.tlsf,Timeout
TwoCountersDisButA3.tlsf,Timeout
TwoCountersDisButA4.tlsf,Timeout
TwoCountersDisButA5.tlsf,Timeout
TwoCountersDisButA6.tlsf,Timeout
TwoCountersDisButA7.tlsf,Timeout
TwoCountersDisButA8.tlsf,Timeout
TwoCountersDisButA9.tlsf,Timeout
TwoCountersDisButAC.tlsf,Timeout
TwoCountersGui.tlsf,Timeout
TwoCountersInRange.tlsf,1.496407428
TwoCountersInRangeA0.tlsf,1.781026584
TwoCountersInRangeA1.tlsf,2.211206688
TwoCountersInRangeA2.tlsf,2.426882223
TwoCountersInRangeA3.tlsf,2.605756822
TwoCountersInRangeA4.tlsf,2.503198007
TwoCountersInRangeA5.tlsf,2.593260910
TwoCountersInRangeA6.tlsf,2.624761697
TwoCountersInRangeM0.tlsf,2.609848581
TwoCountersInRangeM1.tlsf,2.735215584
TwoCountersInRangeM2.tlsf,2.494697492
TwoCountersInRangeM3.tlsf,2.464526614
TwoCountersInRangeM4.tlsf,2.574752202
TwoCountersInRangeM5.tlsf,2.716417972
TwoCountersRefined.tlsf,.087218773
TwoCountersRefinedRefined.tlsf,.088304705
UnderapproxDemo.tlsf,.019231139
UnderapproxDemo2.tlsf,.025565303
UnderapproxStrengthenedDemo.tlsf,.026008888
Warnlight_2d1010f8.tlsf,.068835310
Warnlight_a50cadd7.tlsf,.034546791
Window2Min_88c5c1c3.tlsf,.040086288
Window2_54e1f7d2.tlsf,.043047791
Window2_6479ef9a.tlsf,2.357893493
Window2_9cac58d3.tlsf,.038679383
Window2_aeb1d897.tlsf,6.069359664
Window2_f1477cc5.tlsf,2.146380298
WindowMin_a5f99bc6.tlsf,.041566394
Window_235467da.tlsf,.307290312
Window_42dc4fff.tlsf,.308511079
Window_54e1f7d2.tlsf,.388024013
Zoo0.tlsf,.047757316
Zoo10.tlsf,.040514760
Zoo5.tlsf,.040108530
abcg_arbiter1.tlsf,.033148190
abcg_arbiter2.tlsf,.049324627
abcg_arbiter3.tlsf,.775409370
abcg_arbiter4.tlsf,31.840641110
amba_case_study2.tlsf,Timeout
amba_case_study3.tlsf,Timeout
amba_case_study4.tlsf,Timeout
amba_case_study5.tlsf,Timeout
amba_case_study6.tlsf,Timeout
amba_decomposed_arbiter10.tlsf,Timeout
amba_decomposed_arbiter11.tlsf,Timeout
amba_decomposed_arbiter12.tlsf,Timeout
amba_decomposed_arbiter13.tlsf,Timeout
amba_decomposed_arbiter14.tlsf,Timeout
amba_decomposed_arbiter15.tlsf,Timeout
amba_decomposed_arbiter16.tlsf,Timeout
amba_decomposed_arbiter2.tlsf,.033094072
amba_decomposed_arbiter3.tlsf,.047473731
amba_decomposed_arbiter4.tlsf,.580887743
amba_decomposed_arbiter5.tlsf,21.807702497
amba_decomposed_arbiter6.tlsf,Timeout
amba_decomposed_arbiter7.tlsf,Timeout
amba_decomposed_arbiter8.tlsf,Timeout
amba_decomposed_arbiter9.tlsf,Timeout
amba_decomposed_decode.tlsf,.034585791
amba_decomposed_encode10.tlsf,1.244422295
amba_decomposed_encode100.tlsf,Timeout
amba_decomposed_encode11.tlsf,2.632453511
amba_decomposed_encode12.tlsf,6.252806770
