1,2,3,4,5,6,7
0.996,0.966,0.879,1.123,1.041,0.929,1.164,
0.497,0.461,0.443,0.546,0.392,0.439,0.471,
0.705,0.736,0.727,0.610,0.440,0.417,0.729,
0.962,0.670,0.860,0.883,0.618,0.929,0.491,
1.854,3.229,3.280,2.961,Infinity,Infinity,Infinity,
0.713,0.222,0.698,0.893,,,,
0.694,0.633,0.619,0.537,0.536,0.542,0.665,
0.553,0.689,0.401,1.031,0.673,0.584,0.585,
0.612,0.755,0.781,0.536,0.534,0.663,0.650,
0.601,0.590,0.666,0.501,0.586,0.526,0.574,
0.630,0.721,0.644,0.697,0.558,0.673,0.625,
0.569,0.749,0.703,0.374,0.541,0.586,0.990,
0.615,0.741,0.791,0.925,0.503,0.557,0.730,
0.768,0.732,0.680,0.703,0.574,0.591,0.531,
0.761,0.790,0.686,0.722,0.558,0.590,0.489,
0.823,0.796,0.572,0.541,0.575,0.660,0.478,
0.673,0.771,0.669,0.518,0.615,0.658,0.517,
0.650,0.652,0.550,0.559,0.605,0.617,0.487,
0.785,0.678,0.675,0.721,0.469,0.601,0.468,
0.688,0.796,0.522,0.534,0.591,0.558,0.548,
0.745,0.750,0.605,0.544,0.584,0.613,0.505,
0.734,0.812,0.820,0.642,0.539,0.616,0.444,
0.545,0.742,0.673,0.575,0.444,0.478,0.554,
0.777,0.680,0.641,0.692,0.730,0.513,0.562,
0.584,0.637,0.638,0.636,0.566,0.605,0.450,
0.732,0.731,0.724,0.646,0.574,0.713,0.356,
0.793,0.739,0.633,0.701,0.610,0.549,0.601,
0.693,0.636,0.666,0.718,0.628,0.628,0.639,
0.665,0.810,0.667,0.458,0.771,0.597,0.395,
0.602,0.757,0.651,0.597,0.852,0.652,0.454,
0.680,0.621,0.705,0.706,0.630,0.530,0.437,
0.685,0.853,0.815,0.547,0.851,0.615,0.564,
0.624,0.788,0.688,0.402,0.555,0.636,0.507,
0.616,0.674,0.639,0.579,0.545,0.594,0.505,
0.684,0.699,0.725,0.684,0.678,0.568,0.438,
0.709,0.744,0.730,0.558,0.556,0.557,0.517,
