1,2,3,4,5,6,7
0.981,1.040,0.895,1.141,,,,
0.961,1.051,1.030,1.036,,,,
Infinity,Infinity,Infinity,Infinity,,,,
1.795,2.297,2.178,3.105,5.105,5.171,Infinity,
0.881,0.693,0.665,0.718,0.701,0.000,0.000,
2.504,4.259,3.558,2.048,Infinity,Infinity,,
1.746,2.372,2.242,2.868,5.467,Infinity,Infinity,
2.265,2.063,2.286,3.474,5.349,Infinity,Infinity,
1.833,2.356,2.591,3.526,Infinity,Infinity,Infinity,
2.050,2.068,2.316,3.025,3.679,4.298,Infinity,
1.885,1.690,2.101,2.705,4.776,Infinity,Infinity,
1.969,1.907,2.401,3.440,9.526,4.770,Infinity,
1.793,2.514,2.698,4.085,5.149,5.997,Infinity,
1.670,2.482,1.952,3.064,4.330,4.753,Infinity,
1.828,2.487,2.293,3.028,5.353,Infinity,Infinity,
1.840,2.093,2.409,3.690,7.360,5.934,Infinity,
2.050,3.789,3.972,5.686,Infinity,Infinity,Infinity,
1.822,2.755,2.236,3.781,9.235,Infinity,Infinity,
0.553,0.516,0.509,0.000,0.000,0.000,0.000,
0.603,0.476,0.486,0.000,0.000,0.000,0.000,
0.587,0.539,0.549,0.000,0.000,0.000,0.000,
0.616,0.424,0.000,0.000,0.000,0.000,0.000,
0.574,0.469,0.000,0.000,0.000,0.000,0.000,
0.537,0.600,0.000,0.000,0.000,0.000,0.000,
0.408,0.729,0.000,0.000,0.000,0.000,0.000,
0.441,0.548,0.000,0.000,0.000,0.000,0.000,
0.392,0.537,0.000,0.000,0.000,0.000,0.000,
0.671,0.595,0.000,0.000,0.000,0.000,0.000,
0.523,0.523,0.000,0.000,0.000,0.000,0.000,
0.519,0.647,0.000,0.000,0.000,0.000,0.000,
0.613,0.541,0.000,0.000,0.000,0.000,0.000,
0.770,0.688,0.000,0.000,0.000,0.000,0.000,
0.621,0.565,0.000,0.000,0.000,0.000,0.000,
0.496,0.299,0.000,0.000,0.000,0.000,0.000,
0.688,0.653,0.000,0.000,0.000,0.000,0.000,
0.517,0.541,0.000,0.000,0.000,0.000,0.000,
0.501,0.535,0.000,0.000,0.000,0.000,0.000,
0.395,0.511,0.000,0.000,0.000,0.000,0.000,
0.459,0.457,0.000,0.000,0.000,0.000,0.000,
0.394,0.451,0.000,0.000,0.000,0.000,0.000,
0.328,0.634,0.000,0.000,0.000,0.000,0.000,
0.564,0.537,0.000,0.000,0.000,0.000,0.000,
0.632,0.745,0.000,0.000,0.000,0.000,0.000,
0.740,0.631,0.000,0.000,0.000,0.000,0.000,
0.665,0.484,0.000,0.000,0.000,0.000,0.000,
0.578,0.590,0.000,0.000,0.000,0.000,0.000,
0.489,0.529,0.000,0.000,0.000,0.000,0.000,
0.517,0.502,0.000,0.000,0.000,0.000,0.000,
0.624,0.513,0.000,0.000,0.000,0.000,0.000,
0.654,0.660,0.000,0.000,0.000,0.000,0.000,
0.347,0.584,0.000,0.000,0.000,0.000,0.000,
0.693,0.592,0.000,0.000,0.000,0.000,0.000,
0.679,0.550,0.000,0.000,0.000,0.000,0.000,
0.583,0.505,0.000,0.000,0.000,0.000,0.000,
0.634,0.553,0.000,0.000,0.000,0.000,0.000,
0.466,0.594,0.000,0.000,0.000,0.000,0.000,
0.755,0.533,0.000,0.000,0.000,0.000,0.000,
0.477,0.610,0.000,0.000,0.000,0.000,0.000,
0.508,0.506,0.000,0.000,0.000,0.000,0.000,
0.569,0.441,0.000,0.000,0.000,0.000,0.000,
0.852,0.926,0.000,0.000,0.000,0.000,0.000,
0.699,0.520,0.000,0.000,0.000,0.000,0.000,
0.660,0.814,0.000,0.000,0.000,0.000,0.000,
0.707,0.671,0.000,0.000,0.000,0.000,0.000,
0.546,0.677,0.000,0.000,0.000,0.000,0.000,
0.519,0.708,0.000,0.000,0.000,0.000,0.000,
0.582,0.633,0.000,0.000,0.000,0.000,0.000,
0.422,0.550,0.000,0.000,0.000,0.000,0.000,
0.640,0.766,0.000,0.000,0.000,0.000,0.000,
0.522,0.563,0.000,0.000,0.000,0.000,0.000,
0.505,0.519,0.000,0.000,0.000,0.000,0.000,
0.581,0.496,0.000,0.000,0.000,0.000,0.000,
0.981,0.653,0.000,0.000,0.000,0.000,0.000,
0.469,0.633,0.000,0.000,0.000,0.000,0.000,
0.705,0.622,0.000,0.000,0.000,0.000,0.000,
0.391,0.634,0.000,0.000,0.000,0.000,0.000,
0.629,0.569,0.000,0.000,0.000,0.000,0.000,
0.616,0.496,0.000,0.000,0.000,0.000,0.000,
0.699,0.518,0.000,0.000,0.000,0.000,0.000,
0.580,0.618,0.000,0.000,0.000,0.000,0.000,
0.612,0.461,0.000,0.000,0.000,0.000,0.000,
0.479,0.404,0.000,0.000,0.000,0.000,0.000,
0.512,0.491,0.000,0.000,0.000,0.000,0.000,
0.652,0.546,0.000,0.000,0.000,0.000,0.000,
0.545,0.626,0.000,0.000,0.000,0.000,0.000,
1.006,0.848,0.000,0.000,0.000,0.000,0.000,
1.042,1.066,0.000,0.000,0.000,0.000,0.000,
0.973,1.015,0.930,1.048,1.129,1.032,1.132,
0.974,0.866,0.946,0.929,1.135,1.175,1.082,
1.160,1.184,1.156,1.066,1.207,1.174,1.250,
0.996,1.004,0.945,1.022,1.057,1.129,1.131,
1.050,1.021,0.892,1.133,1.167,1.115,1.158,
1.066,0.954,1.130,1.033,0.965,0.984,1.041,
0.966,1.162,1.021,1.328,1.115,1.836,3.250,
0.900,1.057,1.038,1.051,1.197,1.063,1.161,
0.954,1.054,1.108,1.054,1.141,1.113,1.150,
0.941,1.032,0.939,1.041,1.123,1.030,1.104,
0.433,0.567,0.584,0.439,0.437,0.000,
0.596,0.628,0.490,0.540,0.000,0.000,
0.807,0.693,0.620,0.462,0.405,0.000,
0.426,0.600,0.544,0.578,0.432,0.000,
0.538,0.685,0.577,0.575,0.359,0.000,
0.485,0.693,0.600,0.515,0.381,0.000,
0.640,0.577,0.571,0.530,0.431,0.000,
0.392,0.584,0.558,0.565,0.385,0.000,
0.335,0.743,0.550,0.526,0.358,0.361,
0.187,0.577,0.476,0.399,0.272,0.000,
0.421,0.632,0.604,0.477,0.376,0.000,
0.352,0.636,0.537,0.449,0.316,0.000,
0.422,0.534,0.562,0.462,0.487,0.000,
0.378,0.588,0.541,0.476,0.369,0.000,
0.435,0.411,0.404,0.531,0.460,0.279,0.000,
